31,Dangerous Minds (1995),Drama,https://i.ytimg.com/vi/aLin043gRvI/maxresdefault.jpg
1029,Dumbo (1941),Animation|Children|Drama|Musical,https://vignette.wikia.nocookie.net/disney/images/a/a7/Dumbo-1941-poster.jpg/revision/latest?cb=20140629032112
1061,Sleepers (1996),Thriller,https://static.rogerebert.com/uploads/movie/movie_poster/sleepers-1996/large_80LV2GvhvMEuOutxgQwbRYpo0Vv.jpg
1129,Escape from New York (1981),Action|Adventure|Sci-Fi|Thriller,https://i.ytimg.com/vi/GUGlKSQDDTI/maxresdefault.jpg
1172,Cinema Paradiso (Nuovo cinema Paradiso) (1989),Drama,http://de.web.img3.acsta.net/medias/nmedia/18/76/29/57/19281019.jpg
1263,Deer Hunter (1978),Drama|War,https://resizing.flixster.com/QGjUPvqpDL4kPyRLk0KWRIO-xGk=/206x305/v1.bTsxMTM3MjMyODtqOzE3ODYxOzEyMDA7MTIwMDsxNjAw
1287,Ben-Hur (1959),Action|Adventure|Drama,https://upload.wikimedia.org/wikipedia/commons/7/74/Ben_hur_1959_poster.jpg
1293,Gandhi (1982),Drama,https://upload.wikimedia.org/wikipedia/en/1/10/Gandhi-poster.png
1339,Dracula (Bram Stoker's Dracula) (1992),Fantasy|Horror|Romance|Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/7/70/Bram_Stoker%27s_Draula_%281992_film%29.jpg/220px-Bram_Stoker%27s_Draula_%281992_film%29.jpg
1343,Cape Fear (1991),Thriller,http://www.freeinfosociety.com/media/images/1994.jpg
1371,Star Trek: The Motion Picture (1979),Adventure|Sci-Fi,https://i.ytimg.com/vi/6-4Mg6GnwMY/maxresdefault.jpg
1405,Beavis and Butt-Head Do America (1996),Adventure|Animation|Comedy|Crime,https://upload.wikimedia.org/wikipedia/en/c/cc/Beavis_And_Butthead_Do_America.jpg
1953,French Connection (1971),Action|Crime|Thriller,https://image.tmdb.org/t/p/w300_and_h450_bestv2/xwDi4wF0I1L5bSW08Y8GocDGjJP.jpg
2105,Tron (1982),Action|Adventure|Sci-Fi,https://image.tmdb.org/t/p/w300_and_h450_bestv2/cTF8lpXvAwT1SLH9kVFZZl0AO0D.jpg
2150,Gods Must Be Crazy (1980),Adventure|Comedy,https://resizing.flixster.com/Y_dB66JZaIACMAu9Ssc9BR66TcM=/206x305/v1.bTsxMTYxNDI2MztqOzE3ODY0OzEyMDA7MzE0OzQ1Ng
2193,Willow (1988),Action|Adventure|Fantasy,https://upload.wikimedia.org/wikipedia/en/thumb/7/7b/Willow_movie.jpg/220px-Willow_movie.jpg
2294,Antz (1998),Adventure|Animation|Children|Comedy|Fantasy,http://www.filmposter-archiv.de/filmplakat/1998/antz_gi.jpg
2455,Fly (1986),Drama|Horror|Sci-Fi|Thriller,https://i.ytimg.com/vi/LgUFkheMwRE/maxresdefault.jpg
2968,Time Bandits (1981),Adventure|Comedy|Fantasy|Sci-Fi,"https://m.media-amazon.com/images/M/MV5BMTg2MDYwMzM0NF5BMl5BanBnXkFtZTcwODI3MTQ5OQ@@._V1_UY268_CR3,0,182,268_AL_.jpg"
3671,Blazing Saddles (1974),Comedy|Western,https://image.tmdb.org/t/p/w300_and_h450_bestv2/yccgwPNVaqtgS1d0U5jjM6Mnza8.jpg
10,GoldenEye (1995),Action|Adventure|Thriller,https://i.ytimg.com/vi/T2zdl7QMkSg/maxresdefault.jpg
110,Braveheart (1995),Action|Drama|War,https://i.pinimg.com/originals/21/2d/1e/212d1e70e19aa92b2cfc1222e9f9bb40.jpg
272,Madness of King George (1994),Comedy|Drama,https://c8.alamy.com/comp/E5NF5J/the-madness-of-king-george-nigel-hawthorne-1994-E5NF5J.jpg
356,Forrest Gump (1994),Comedy|Drama|Romance|War,https://image.tmdb.org/t/p/w300_and_h450_bestv2/nntasdgJ4cyIPIZYpvmPyhz1cQ5.jpg
357,Four Weddings and a Funeral (1994),Comedy|Romance,https://image.tmdb.org/t/p/w300_and_h450_bestv2/md9kMKnLG8LG4pMDM98gy5x4K5L.jpg
364,Lion King (1994),Adventure|Animation|Children|Drama|Musical|IMAX,https://vignette.wikia.nocookie.net/lion-kinglion-guard/images/4/4a/635902362283569397796260502_the-lion-king-poster.jpg/revision/latest?cb=20160803020414
367,Mask (1994),Action|Comedy|Crime|Fantasy,https://daveexaminesmovies.files.wordpress.com/2012/12/mask-the.jpg
377,Speed (1994),Action|Romance|Thriller,http://cinespia.org/wp-content/uploads/2016/06/KR.jpg
480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,"https://m.media-amazon.com/images/M/MV5BMjM2MDgxMDg0Nl5BMl5BanBnXkFtZTgwNTM2OTM5NDE@._V1_UX182_CR0,0,182,268_AL_.jpg"
500,Mrs. Doubtfire (1993),Comedy|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/5/5a/Mrs_Doubtfire.jpg/220px-Mrs_Doubtfire.jpg
539,Sleepless in Seattle (1993),Comedy|Drama|Romance,https://static.rogerebert.com/uploads/movie/movie_poster/sleepless-in-seattle-1993/large_lUM9NBKwZ1RzBdScDLMkAtYuM9t.jpg
